route,delivered_percent,ontime_percent,cancelled_percent,short_percent,scheduled,scheduled_tp,ontime,cancelled,short,,,,,,
1,98.10%,88.20%,1.60%,2.80%,83596,232612,205192,1319,2303,,,,,,
109,97.70%,80.40%,1.50%,6.30%,85149,240699,193567,1256,5333,,,,,,
11,98.40%,80.00%,0.90%,5.90%,82282,238154,190572,728,4853,,,,,,
12,98.30%,86.00%,1.30%,3.90%,82436,233252,200681,1044,3186,,,,,,
16,98.40%,79.50%,0.80%,6.30%,77185,207681,165013,614,4834,,,,,,
19,98.20%,85.00%,1.30%,4.10%,112786,323233,274891,1461,4619,,,,,,
3,97.70%,81.90%,1.70%,4.80%,71304,186031,152337,1206,3410,,,,,,
48,97.50%,78.40%,1.60%,6.90%,73278,211240,165680,1164,5080,,,,,,
5,98.90%,85.00%,0.70%,3.00%,62209,154677,131457,452,1887,,,,,,
57,98.40%,86.70%,1.20%,3.30%,88817,258655,224343,1043,2931,,,,,,
58,98.30%,85.40%,1.20%,4.50%,98654,272725,232883,1148,4425,,,,,,
59,98.30%,81.30%,1.10%,4.80%,97214,272657,221794,1096,4700,,,,,,
6,97.50%,82.00%,2.10%,3.40%,85519,233807,191634,1772,2903,,,,,,
64,97.50%,83.60%,1.90%,4.80%,69246,185517,155029,1283,3347,,,,,,
67,97.90%,81.00%,1.50%,5.20%,68661,182292,147669,1004,3590,,,,,,
70,97.60%,72.60%,1.40%,7.60%,74454,204947,148873,1058,5646,,,,,,
72,98.30%,79.50%,1.00%,5.50%,74055,194790,154807,768,4047,,,,,,
75,98.00%,77.80%,1.10%,7.30%,76979,211507,164644,874,5591,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
